feature,importance
Age,0.27322143576362723
InterestRate,0.1919518248882903
Income,0.1587163147790432
MonthsEmployed,0.1077548697667859
LoanAmount,0.10536496478604386
CreditScore,0.042957244466358874
DTIRatio,0.030152531512336336
EmploymentType,0.017488467384763576
NumCreditLines,0.01144008065908559
HasCoSigner,0.011410694903667577
Education,0.010297701166552911
LoanPurpose,0.009999718272559648
HasDependents,0.009031805518245435
LoanTerm,0.008914123316765967
MaritalStatus,0.00660953813298438
HasMortgage,0.004688684682889366
